EDIT
SRNE
MU
NIO
AMD
DIDI
PLTR
WISH
BB
NEGG
GME
NVDA
CLNE
CLOV
SOFI
AMC
DNUT
BARK
PUBM
ASTS
ARVL
DOCS
PFG
STRS
MPWR
OCX
RPAR
KW
CARV
MILE
WKHS
CLF
SPY
TSLA
SPCE
